Revenue,Profit Margin,returnOnEquity,Book Value per Share,Operating Cash Flow,Class
198459000.0,0.099,0.3292,1.511,43054000.0,1
320488000.0,0.059,0.0996,17.715,17843000.0,0
49322908.0,0.094,0.3636,0.511,992309.0,0
237654865.0,0.0579999999999999,0.0763,10.293,22561194.0,0
489187000.0,0.043,0.0992,23.84,21875000.0,0
1215180000.0,0.038,0.0933,22.25,-132504000.0,0
120048000.0,0.01,0.0104,4.857,9081000.0,1
495837000.0,0.037,0.1287,5.065,43794000.0,0
406588000.0,-0.003,-0.0151,6.465,3461000.0,0
170229006.0,0.072,0.0579999999999999,4.968999999999999,3327918.0,0
158303000.0,0.088,0.0545,7.897,-28675000.0,0
303511000.0,0.13,0.2306,7.777,53747000.0,1
533339000.0,0.03,0.0559,35.15,46757000.0,1
139357000.0,0.035,0.1345,11.089,11905000.0,1
1609481000.0,0.01,0.0366,14.186,46527000.0,0
425410000.0,0.021,0.046,20.604,33218000.0,0
492776000.0,0.03,0.0885,14.911,9937000.0,1
196249000.0,0.0579999999999999,0.1411,6.047000000000001,7068000.0,1
139307000.0,0.054,0.0796,13.515999999999998,11126000.0,0
340738000.0,0.027,0.0593,14.943,30261000.0,1
287162000.0,0.061,0.1561,9.122,20219000.0,1
452901000.0,-0.002,-0.0069,17.492,13973000.0,1
2151000000.0,-0.01999070199907,0.0779499999999999,10.419,42000000.0,0
98711275.0,0.087,0.1652,2.541,-6455730.0,0
42224000.0,-0.037,-0.153,1.186,-75000.0,0
348419000.0,0.047,0.1309,36.612,11519000.0,0
687902000.0,0.042,0.1011,15.396,56357000.0,0
